Reaction,WT_Mean,WT_SEM,WT_Norm_CI_Low,WT_Norm_CI_High,WT_Perc_CI_Low,WT_Perc_CI_High,KO_Mean,KO_SEM,KO_Norm_CI_Low,KO_Norm_CI_High,KO_Perc_CI_Low,KO_Perc_CI_High
5ADTSTSTERONEte,-897.293058495829,1.90220930218619,-901.021388728114,-893.564728263544,-984.170377883994,-793.333702212426,-304.315611495191,11.5296193621399,-326.913665444985,-281.717557545397,-962.032721966237,211.229160543393
5FTHFt2_1,2.08239854548555,0.0553397892305291,1.97393255859371,2.19086453237739,0.0861737659116137,7.3692300420394,17.4795978990874,0.339817046437797,16.8135564880693,18.1456393101055,1.21318773075068,41.5653365773413
5HOXINOXDA,0.408039514840207,0.00782175742201143,0.392708870293065,0.42337015938735,0.0145080262157866,0.850822123553675,0.45587215728367,0.00695480914024872,0.442240731368783,0.469503583198558,0.0565671778122327,0.920848900562857
5THFtl,2.99517858328689,0.0653323064990151,2.86712726254882,3.12322990402496,0.476816889177819,7.95383739901191,11.4967144923193,0.378711343807136,10.7544402584573,12.2389887261813,0.520163567227537,36.0125818997485
5THFtm,1.51649102412723,0.025113609215809,1.46726835006425,1.56571369819022,0.183521036827807,3.32172677600937,1.50901928393861,0.0453491299783344,1.42013498918108,1.59790357869615,0.0329661244889272,5.59809870390877
7DHCHSTEROLtr,-489.308202130284,8.47667150440787,-505.922478278923,-472.693925981645,-958.996610595894,-28.8125798603041,-422.697601466531,7.90875348022179,-438.198758287766,-407.196444645296,-872.940989172385,116.634960587843
7DHFtm,0.744916368376614,0.0137057910819134,0.718053017856063,0.771779718897164,0.116480316886852,1.81311481262347,1.22794083197257,0.0242916528483927,1.18032919238972,1.27555247155542,0.050742808328707,2.94761737432172
ABTArm,-988.443152238645,0.35656634218563,-989.142022269328,-987.744282207961,-999.361781912499,-963.499325404837,-957.07634105051,0.916413753841195,-958.872512008039,-955.280170092982,-991.975758022045,-902.192763935175
ABTt,-874.418514553686,3.90046096110344,-882.063418037448,-866.773611069923,-993.491091078348,-541.297348845853,-522.46581452454,4.28092832310872,-530.856434037833,-514.075195011247,-825.564720112882,-251.448036823246
ACACT10m,13.0765330786971,0.20529221520621,12.674160336893,13.4789058205013,1.59218758878337,22.4741573306342,36.0900111831152,0.737437136888987,34.6446343948127,37.5353879714176,0.075601420131413,82.0537087607917
